time,A_segment,B_segment,A_total_ASPE_raw,A_total_ASPEdot_raw,B_total_ASPE_raw,B_total_ASPEdot_raw,A_center_x,A_center_y,B_center_x,B_center_y,A_speed,B_speed,centroid_distance
0.0,A_start,B_start,391.1189355907,4.932310024018,391.1189355907,4.932310024018,-76.0,10.5,76.0,-10.5,5.2,5.2,153.4438007871
0.1,A_cruise,B_cruise,391.6062459454,4.969164061894,391.6062459454,4.969164061894,-75.48,10.5,75.48,-10.5,5.2,5.2,152.4136529318
0.2,A_cruise,B_cruise,392.0971041042,5.006515997919,392.0971041042,5.006515997919,-74.96,10.5,74.96,-10.5,5.2,5.2,151.383639803
0.3,A_cruise,B_cruise,392.5915558816,5.044375451656,392.5915558816,5.044375451656,-74.44,10.5,74.44,-10.5,5.2,5.2,150.3537641697
0.4,A_cruise,B_cruise,393.0896479148,5.082752281352,393.0896479148,5.082752281352,-73.92,10.5,73.92,-10.5,5.2,5.2,149.3240288768
0.5,A_cruise,B_cruise,393.5914276819,5.121656591059,393.5914276819,5.121656591059,-73.4,10.5,73.4,-10.5,5.2,5.2,148.2944368478
0.6,A_cruise,B_cruise,394.0969435206,5.161098737996,394.0969435206,5.161098737996,-72.88,10.5,72.88,-10.5,5.2,5.2,147.2649910875
0.7,A_cruise,B_cruise,394.6062446471,5.201089340163,394.6062446471,5.201089340163,-72.36,10.5,72.36,-10.5,5.2,5.2,146.235694685
0.8,A_cruise,B_cruise,395.1193811754,5.241639284217,395.1193811754,5.241639284217,-71.84,10.5,71.84,-10.5,5.2,5.2,145.2065508164
0.9,A_cruise,B_cruise,395.6364041377,5.282759733617,395.6364041377,5.282759733617,-71.32,10.5,71.32,-10.5,5.2,5.2,144.1775627482
1.0,A_cruise,B_cruise,396.1573655551,5.324462141482,396.1573655551,5.324462141482,-70.8,10.5,70.8,-10.5,5.2,5.2,143.14873384
1.1,A_cruise,B_cruise,396.6823185743,5.366758269595,396.6823185743,5.366758269595,-70.28,10.5,70.28,-10.5,5.2,5.2,142.1200675485
1.2,A_cruise,B_cruise,397.2113168524,5.40966014169,397.2113168524,5.40966014169,-69.76,10.5,69.76,-10.5,5.2,5.2,141.0915674305
1.3,A_cruise,B_cruise,397.7444153029,5.453180115767,397.7444153029,5.453180115767,-69.24,10.5,69.24,-10.5,5.2,5.2,140.0632371467
1.4,A_cruise,B_cruise,398.2816698644,5.497330871788,398.2816698644,5.497330871788,-68.72,10.5,68.72,-10.5,5.2,5.2,139.0350804653
